STUDY_ID	SAMPLE_ID	EGFR	KRAS	ALK	ERBB2	CD274
luad_tcga_pan_can_atlas_2018	TCGA-17-Z033-01	NA	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-17-Z036-01	NA	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-17-Z037-01	NA	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-17-Z041-01	NA	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-17-Z042-01	NA	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-17-Z043-01	NA	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-17-Z044-01	NA	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-17-Z045-01	NA	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-17-Z047-01	NA	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-17-Z048-01	NA	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-17-Z049-01	NA	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-17-Z050-01	NA	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-17-Z051-01	NA	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-17-Z052-01	NA	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-17-Z053-01	NA	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-17-Z054-01	NA	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-17-Z055-01	NA	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-17-Z056-01	NA	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-17-Z057-01	NA	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-17-Z058-01	NA	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-17-Z059-01	NA	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-17-Z060-01	NA	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-17-Z061-01	NA	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-17-Z062-01	NA	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-35-3615-01	248.207	1214.42	12.9955	5891.16	21.7674
luad_tcga_pan_can_atlas_2018	TCGA-35-4122-01	211.558	1498.49	18.0905	2088.94	271.357
luad_tcga_pan_can_atlas_2018	TCGA-35-4123-01	1108.75	1309.42	0.8782	3348.64	534.395
luad_tcga_pan_can_atlas_2018	TCGA-35-5375-01	139.833	674.806	7.7691	2188.68	78.8013
luad_tcga_pan_can_atlas_2018	TCGA-38-4625-01	967.604	1265.28	5.3506	2196.28	1397.07
luad_tcga_pan_can_atlas_2018	TCGA-38-4626-01	836.342	1135.91	7.4656	3505.68	154.969
luad_tcga_pan_can_atlas_2018	TCGA-38-4627-01	985.768	1161.98	4.378	3206.13	41.9555
luad_tcga_pan_can_atlas_2018	TCGA-38-4628-01	1735.77	1195.32	6.6372	12408.7	25.6005
luad_tcga_pan_can_atlas_2018	TCGA-38-4631-01	182.064	1565.59	1.5695	2141.61	14.1257
luad_tcga_pan_can_atlas_2018	TCGA-38-4632-01	975.722	863.315	3.0587	3433.38	147.582
luad_tcga_pan_can_atlas_2018	TCGA-38-6178-01	14050.5	1176.29	2.3401	4084.24	19.5008
luad_tcga_pan_can_atlas_2018	TCGA-38-7271-01	827.639	1242.22	9.8709	5617.31	81.2453
luad_tcga_pan_can_atlas_2018	TCGA-38-A44F-01	305.936	1116.44	34.8174	5078.77	27.3973
luad_tcga_pan_can_atlas_2018	TCGA-44-2655-01	367.474	858.993	3.1076	6492.3	29.5222
luad_tcga_pan_can_atlas_2018	TCGA-44-2656-01	2456.58	1094.16	11.9225	5772.13	448.178
luad_tcga_pan_can_atlas_2018	TCGA-44-2657-01	1367.77	1607.38	14.7651	2710.07	65.1007
luad_tcga_pan_can_atlas_2018	TCGA-44-2659-01	6649.18	1232.76	4.5767	4146.78	53.9392
luad_tcga_pan_can_atlas_2018	TCGA-44-2662-01	1330.09	1164.56	2.5137	7897.3	403.268
luad_tcga_pan_can_atlas_2018	TCGA-44-2665-01	773.714	1222.01	4.7438	2430.74	162.714
luad_tcga_pan_can_atlas_2018	TCGA-44-2666-01	978.834	758.628	6.2559	5134.4	135.961
luad_tcga_pan_can_atlas_2018	TCGA-44-2668-01	2935.17	1806.07	1.0918	3389.15	326.714
luad_tcga_pan_can_atlas_2018	TCGA-44-3396-01	773.757	874.692	3.5802	14152.8	303.871
luad_tcga_pan_can_atlas_2018	TCGA-44-3398-01	306.638	1836.4	2.9979	2336.62	214.561
luad_tcga_pan_can_atlas_2018	TCGA-44-3917-01	NA	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-44-3918-01	704.806	1260.49	3.8139	3773.46	699.466
luad_tcga_pan_can_atlas_2018	TCGA-44-3919-01	918.039	1337.89	2.6016	12184.1	171.707
luad_tcga_pan_can_atlas_2018	TCGA-44-4112-01	1301.19	1902.01	5.2209	4967.87	76.3052
luad_tcga_pan_can_atlas_2018	TCGA-44-5643-01	925.628	5670.42	179.718	5564.51	28.7324
luad_tcga_pan_can_atlas_2018	TCGA-44-5644-01	3295.04	1760.93	24.6052	902.411	7.98
luad_tcga_pan_can_atlas_2018	TCGA-44-5645-01	2519.75	1051.06	0.5737	3982.21	57.9461
luad_tcga_pan_can_atlas_2018	TCGA-44-6144-01	NA	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-44-6145-01	409.349	1519.9	2.5268	5500.32	229.311
luad_tcga_pan_can_atlas_2018	TCGA-44-6146-01	1331.21	2511.28	0	11699.5	26.6245
luad_tcga_pan_can_atlas_2018	TCGA-44-6148-01	1744.69	625.151	2.6785	7111.29	43.9266
luad_tcga_pan_can_atlas_2018	TCGA-44-6774-01	827.138	1122.68	0.9294	4960.97	46.4684
luad_tcga_pan_can_atlas_2018	TCGA-44-6775-01	2337.2	1046.44	16.6583	3962.65	77.2337
luad_tcga_pan_can_atlas_2018	TCGA-44-6776-01	740.654	2285.2	5.0287	9497.84	17.9598
luad_tcga_pan_can_atlas_2018	TCGA-44-6777-01	2692.79	1355.08	29.4582	5101.53	194.634
luad_tcga_pan_can_atlas_2018	TCGA-44-6778-01	494.264	1445.43	29.8223	1295.69	307.741
luad_tcga_pan_can_atlas_2018	TCGA-44-6779-01	4004.78	1330.15	0.797	4554.69	137.079
luad_tcga_pan_can_atlas_2018	TCGA-44-7659-01	1869.91	1275.78	8.2212	5098.65	68.012
luad_tcga_pan_can_atlas_2018	TCGA-44-7660-01	513.511	1629.69	6.3085	4908.84	74.0196
luad_tcga_pan_can_atlas_2018	TCGA-44-7661-01	2097.42	3418.49	2.1861	4380.07	1002.19
luad_tcga_pan_can_atlas_2018	TCGA-44-7662-01	1307.26	1223.83	3.5516	6193.12	140.289
luad_tcga_pan_can_atlas_2018	TCGA-44-7667-01	492.415	1991.97	502.07	3881.06	25.6362
luad_tcga_pan_can_atlas_2018	TCGA-44-7669-01	856.255	2985.58	1.5334	2337.86	92.3122
luad_tcga_pan_can_atlas_2018	TCGA-44-7670-01	599.119	7593.79	2.7823	3362.24	42.3526
luad_tcga_pan_can_atlas_2018	TCGA-44-7671-01	704.523	1598.74	1.5754	10613.9	19.2202
luad_tcga_pan_can_atlas_2018	TCGA-44-7672-01	1085.9	2636.08	13.2761	7511.52	144.865
luad_tcga_pan_can_atlas_2018	TCGA-44-8117-01	3018.03	2120.83	4.3359	18541.7	109.843
luad_tcga_pan_can_atlas_2018	TCGA-44-8119-01	276.967	1810.48	0.263	9309.66	57.6051
luad_tcga_pan_can_atlas_2018	TCGA-44-8120-01	832.604	871.586	3.3641	20698.3	43.4532
luad_tcga_pan_can_atlas_2018	TCGA-44-A479-01	1027.79	4157.78	1.7026	3767.31	115.778
luad_tcga_pan_can_atlas_2018	TCGA-44-A47A-01	799.299	1252.81	8.7001	4137.67	70.6244
luad_tcga_pan_can_atlas_2018	TCGA-44-A47B-01	361.841	3143.75	0.4478	19627	18.8088
luad_tcga_pan_can_atlas_2018	TCGA-44-A47F-01	NA	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-44-A47G-01	860.748	1513.23	4.0276	5096.66	202.532
luad_tcga_pan_can_atlas_2018	TCGA-44-A4SS-01	554.392	1639.93	4.4308	157884	63.6921
